Name,URL,Duration,UpdateInterval,StartOn,EndBy,Cache
Exhibit01,https://github.com/Cognita-IT/AppleTV/blob/master/_BCPK/bckp%20bluewhite.png?raw=true,0:00:10,1:00:00,1/1/18 0:00,12/31/30 23:59,yes
Exhibit02,https://github.com/Cognita-IT/AppleTV/blob/master/_BCPK/bckp%20colour%20logo.png?raw=true,0:00:10,1:00:00,1/1/18 0:00,12/31/30 23:59,yes
Exhibit03,https://github.com/Cognita-IT/AppleTV/blob/master/_BCPK/bckp%20gray.png?raw=true,0:00:10,1:00:00,1/1/18 0:00,12/31/30 23:59,yes
Exhibit04,https://github.com/Cognita-IT/AppleTV/blob/master/_BCPK/cognita%20background.png?raw=true,0:00:10,1:00:00,1/1/18 0:00,12/31/30 23:59,yes
