Name,URL,Duration,UpdateInterval,StartOn,EndBy,Cache
Exhibit01,https://github.com/Cognita-IT/AppleTV/blob/master/_BCPK/bckp%20blue%204k.png?raw=true,00:00:10,01:00:00,01/01/2018 00:00,12/31/30 23:59,yes
Exhibit02,https://github.com/Cognita-IT/AppleTV/blob/master/_BCPK/bckp%20gray.png?raw=true,00:00:10,01:00:00,01/01/2018 00:00,12/31/30 23:59,yes
Exhibit03,https://github.com/Cognita-IT/AppleTV/blob/master/_BCPK/cognita%20background.png?raw=true,00:00:10,01:00:00,01/01/2018 00:00,12/31/30 23:59,yes
