Name,URL,Duration,UpdateInterval,StartOn,EndBy,Cache
Exhibit01,https://raw.githubusercontent.com/Cognita-IT/AppleTV/master/_ARP/00.png,0:00:15,0:15:00,1/1/18 0:00,12/31/30 23:59,yes
Exhibit02,https://www.alleyns-regentspark.org.uk/wp-content/uploads/sites/144/2025/03/ALLEYNS_REGENTS_PARK-UNIFORM_HR-51.jpg,0:00:15,0:15:00,1/1/18 0:00,12/31/30 23:59,yes
Exhibit03,https://www.alleyns-regentspark.org.uk/wp-content/uploads/sites/144/2025/03/ALLEYNS_REGENTS_PARK-UNIFORM_HR-26.jpg,0:00:15,0:15:00,1/1/18 0:00,12/31/30 23:59,yes
Exhibit04,https://www.alleyns-regentspark.org.uk/wp-content/uploads/sites/144/2025/03/ALLEYNS_REGENTS_PARK-UNIFORM_HR-19.jpg,0:15:00,1/1/18 0:00,12/31/30 23:59,yes
Exhibit05,https://www.alleyns-regentspark.org.uk/wp-content/uploads/sites/144/2025/03/ALLEYNS_REGENTS_PARK-UNIFORM_HR-49.jpg,0:00:15,0:15:00,1/1/18 0:00,12/31/30 23:59,yes
Exhibit06,https://raw.githubusercontent.com/Cognita-IT/AppleTV/master/_ARP/05.png,0:00:15,0:15:00,1/1/18 0:00,12/31/30 23:59,yes
